City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
576,Caravelas,BR,77.27,moderate rain,-17.7125,-39.2481,Pousada dos Navegantes
578,Mogadishu,SO,77.92,clear sky,2.0371,45.3438,Hotel Juba
583,Takoradi,GH,78.94,clear sky,4.8845,-1.7554,Raybow International Hotel
584,Sao Raimundo Das Mangabeiras,BR,72.82,overcast clouds,-7.0219,-45.4811,Hotel Tropical
588,Sabang,ID,82.04,overcast clouds,5.8933,95.3214,Hotel Citra
589,San Policarpo,PH,82.35,clear sky,12.1791,125.5072,Agapita M. Nicart
593,Cap-Haitien,HT,78.06,overcast clouds,19.7578,-72.2042,Habitation Jouissant
597,Muisne,EC,75.43,light rain,0.6,-80.0333,Quinta Samay
599,Tual,ID,76.78,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
600,Lodwar,KE,80.83,broken clouds,3.1191,35.5973,Solmar Gracious Hotel
604,Lingao,CN,71.56,few clouds,19.9103,109.6859,Lingao Ditai Inn
606,Malakal,SS,77.29,scattered clouds,9.5334,31.6605,Nile Palace Hotel
610,Port Macquarie,AU,80.56,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
612,Abengourou,CI,70.77,scattered clouds,6.7297,-3.4964,Hotel des Princes
615,Matara,LK,81.66,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
616,Balaipungut,ID,81.01,scattered clouds,1.05,101.2833,
618,Ler,SS,75.15,overcast clouds,8.3018,30.1418,
620,Beira,MZ,80.69,broken clouds,-19.8436,34.8389,Beira Terrace Hotel
623,Viedma,AR,80.22,overcast clouds,-40.8135,-62.9967,Hotel Cristal
624,Imbituba,BR,72.82,broken clouds,-28.24,-48.6703,Praia Hotel Imbituba
640,Puerto Madero,MX,73.6,few clouds,14.7208,-92.4215,Hospedaje madero
646,Soyo,AO,77.86,overcast clouds,-6.1349,12.3689,Hotel Mpampa
647,Tura,IN,73.13,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
648,Conner,PH,80.1,broken clouds,17.7964,121.3275,
649,Grand Gaube,MU,80.38,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
652,Punta Cardon,VE,76.96,clear sky,11.6581,-70.215,Bambuda hotel
654,Conde,BR,76.46,few clouds,-7.2597,-34.9075,Pousada Beija Flor
657,Phonhong,LA,78.62,few clouds,18.5007,102.4166,Manyvong Guest House
658,Ambon,ID,89.74,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
659,Dawei,MM,88.43,clear sky,14.0833,98.2,Hotel Dawei
661,Sao Gabriel Da Cachoeira,BR,72.39,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
663,Ko Samui,TH,85.91,few clouds,9.5357,99.9357,The Passage Samui
667,Guane,CU,70.68,overcast clouds,22.2025,-84.0875,base de Campismo LosPortales de Guane
668,Tonj,SS,75.76,overcast clouds,7.2737,28.6822,Lakan Hotel
672,Hambantota,LK,81.43,overcast clouds,6.1241,81.1185,Bungalow 63
673,Sao Domingos Do Maranhao,BR,71.73,overcast clouds,-5.5758,-44.3853,Pousada Babaçu
677,Luanda,AO,76.08,overcast clouds,-8.8368,13.2343,Hotel Fórum
